MD7047d_lo0025,_lo0028,_lo0033,_lo0034,_lo0035,_lo0036,_lo0037,_lo0038,_lo0039,_lo0040,_lo0041,_lo0042,_lo0045,_lo0047,_lo0048,_lo0049,_lo0050,_lo0054,_lo0055,_lo0056,_lo0057,_lo0058,_lo0059,_lo0061,_lo0062,_lo0116,_lo0117,_lo0118,_lo0119,_lo0120,_lo0121,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0134,_lo0135,_lo0136,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0146,_lo0147,_lo0148,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0154,_lo0155,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.141375125,0.369774,0.006447756,0.006668482,0.308187115,0.252837403,0.227046888,0.339775962,0.200419359,0.007861793,0.169381196,0.134113366,0.006135015,0.141731123,0.285552474,0.178046402,0.006910632,0.006662354,0.007020476,0.007042251,0.008729012,0.00690641,0.009224967,0.008856995,0.007542385,0.162720322,0.016504058,0.007196147,0.007369444,0.006699817,0.006669469,0.007765051,0.00752026,0.008707662,0.00901081,0.008138963,0.006938228,0.007887896,0.005862548,0.006845723,0.007110545,0.008834989,0.007739459,0.008016824,0.007763053,0.012310725,0.007028352,0.006803163,0.007520355,0.008830017,0.00639622,0.011069559,0.007994427,0.007116483,0.008486092,0.010716195,0.007496738,0.009912989,0.007213923,0.008216737,Cl.32,46
0.000278964,0.000387834,0.000353148,0.000321137,0.123037373,0.000368915,0.000337194,0.0002441,0.000259,0.000325234,0.000300019,0.000319669,0.00028237,0.000348796,0.000333511,0.000316926,0.000248081,0.000270368,0.000333365,0.000252788,0.000242507,0.000212876,0.000273993,0.000161786,0.000354454,0.552325589,0.021573932,0.000342948,0.000375901,0.000265878,0.000200499,0.000274238,0.000295819,0.000329112,0.000406676,0.000338619,0.000387951,0.000249083,0.00033296,0.00033887,0.000289787,0.000346015,0.00025864,0.000479099,0.000295782,0.000259207,0.000331324,0.000342804,0.000381043,0.000443947,0.000306882,0.000331991,0.000380564,0.000338012,0.000298057,0.000360386,0.000418674,0.000427559,0.000235017,0.000358402,Cl.33,13969
0.000430434,0.000430872,0.000453153,0.000410989,0.000394666,0.000383478,0.000337454,0.000473172,0.000327432,0.000466798,0.000374967,0.000448638,0.000436977,0.000362804,0.00038011,0.00034696,0.505901128,0.76694482,0.758689039,0.000465287,0.494215381,0.66286259,0.000777487,0.693653845,0.000411508,0.000442629,0.000394213,0.003623433,0.000260746,0.637444188,0.699594247,0.000327443,0.000360383,0.000290436,0.000475182,0.000285293,0.000438043,0.000411108,0.000462538,0.000438127,0.000444995,0.000409162,0.000405922,0.000317457,0.000454412,0.000613972,0.000557301,0.000417638,0.000561298,0.000390397,0.000357193,0.000279202,0.000319242,0.000554844,0.000432705,0.000239163,0.000582071,0.000537947,0.000285108,0.000341915,Cl.37,4879
0.289098673,0.944531797,0.000350109,0.000397592,0.781114665,0.737403616,0.5836841,0.940038402,0.584027447,0.000407475,0.463187483,0.351473967,0.000606639,0.38311164,0.783193993,0.418959843,0.000265621,0.00053895,0.000357146,0.000359234,0.0004087,0.000387382,0.000344443,0.000449969,0.000422681,0.465409238,0.021797965,0.000527804,0.000401894,0.000536263,0.000397254,0.000454823,0.000318399,0.000347934,0.000404421,0.000320547,0.000394611,0.000464954,0.000676332,0.000434563,0.000353318,0.000246089,0.000316374,0.000436354,0.00042201,0.000534923,0.00040374,0.000542056,0.000456396,0.000400041,0.00029743,0.000422968,0.00036619,0.000454251,0.000578478,0.000481619,0.000442766,0.000272935,0.00036307,0.000383746,Cl.40,4717
0.001022359,0.001139107,0.000910308,0.002659085,0.000726323,0.000831887,0.000876958,0.001063122,0.000771808,0.000873006,0.000894689,0.000797937,0.000751283,0.000979978,0.000859221,0.001327619,0.508239263,0.772161341,0.768750786,0.630920673,0.508394358,0.687111232,0.001482955,0.718992484,0.608777484,0.00092313,0.443054675,0.791800756,0.135180894,0.635752447,0.715332709,0.000845717,0.001009208,0.001489503,0.000948769,0.000564671,0.000945661,0.001142544,0.008843761,0.001216456,0.00061354,0.00109185,0.000932139,0.001296836,0.000906747,0.000679861,0.000820833,0.000796927,0.000708194,0.000787361,0.00098904,0.000573841,0.000948225,0.000651859,0.000792614,0.001295485,0.001116474,0.000579208,0.001173219,0.000847102,Cl.41,1056
0.000270272,0.000270413,0.304436842,0.000358918,0.000317925,0.0002804,0.000320628,0.000170823,0.000285948,0.000318064,0.000326414,0.000323447,0.000356222,0.00032449,0.000310274,0.000304198,0.000268979,0.000435618,0.000299084,0.00036613,0.000307511,0.000310771,0.000286961,0.000275715,0.000249696,0.000336476,0.000324052,0.000298528,0.000309767,0.000354699,0.000309542,0.000275907,0.000368706,0.000257734,0.000372642,0.000469223,0.000381609,0.000212568,0.000340901,0.000257329,0.000286646,0.000298484,0.00027646,0.000418226,0.000329782,0.000422186,0.000281628,0.000414022,0.000414783,0.000161028,0.000347098,0.000344932,0.000414853,0.000375807,0.000360958,0.000240518,0.000394774,0.000215413,0.000237331,0.000318912,Cl.43,13173
0.000261215,0.000303282,0.000487576,0.000421752,0.000507772,0.000420348,0.000419593,0.000328359,0.000459667,0.000541509,0.000360428,0.00035494,0.000387181,0.000447515,0.000487974,0.00041414,0.000381144,0.011544063,0.033202875,0.000332256,0.012625086,0.000422933,0.030287924,0.001138742,0.000421113,0.000468942,0.000271723,0.000260359,0.000301594,0.001500096,0.36844972,0.000548482,0.000417027,0.00041617,0.00043133,0.000626353,0.000273745,0.000317384,0.00043159,0.000438512,0.000462491,0.00040783,0.000419011,0.139365113,0.000309028,0.000421773,0.000574802,0.000560952,0.000429939,0.000567416,0.000409497,0.000507028,0.000601548,0.000420126,0.000313329,0.000676544,0.000386622,0.000433961,0.000285462,0.061853778,Cl.46,3934
0.001909257,0.002174613,0.001994592,0.002065907,0.002485656,0.002393077,0.002860814,0.002375759,0.003202932,0.002934159,0.003053405,0.002775911,0.003014073,0.002715675,0.002922532,0.002251992,0.002518845,0.003060722,0.003163895,0.002861174,0.002695027,0.00262568,0.002719773,0.003044151,0.003213187,0.003135452,0.002901404,0.036632994,0.002157156,0.003037131,0.002371392,0.016435332,0.002594435,0.007119777,0.002515993,0.002630346,0.00219927,0.00264393,0.002438594,0.042459221,0.008906396,0.021400887,0.002030398,0.003222297,0.02720718,0.00306978,0.002085451,0.002516814,0.002309996,0.005559867,0.001815313,0.002322328,0.002557077,0.002739431,0.002032791,0.020757989,0.008302479,0.005549475,0.00182201,0.002422305,Cl.48,23104
0.000254266,0.00042112,0.000401393,0.000377363,0.000353429,0.000473242,0.0003999,0.873042048,0.000438096,0.000506148,0.000480055,0.000370843,0.000571532,0.000399212,0.000450765,0.000336423,0.000419498,0.00050146,0.000463393,0.000450113,0.000467034,0.000528401,0.000357455,0.000508688,0.000377249,0.000319799,0.000406545,0.000451329,0.000399675,0.00046587,0.000408614,0.000423339,0.000413692,0.000441526,0.000592021,0.000520771,0.000505958,0.000391842,0.000337183,0.000440422,0.000378877,0.000437138,0.000437188,0.000553962,0.000417541,0.000409144,0.000409946,0.000473168,0.000561262,0.000400079,0.00043558,0.000449892,0.000508832,0.000474293,0.000473886,0.00032672,0.000534414,0.000530905,0.000292335,0.000219404,Cl.50,5307
0.000455025,0.000414194,0.000495903,0.000340367,0.000345509,0.000417965,0.000423136,0.000489539,0.000307749,0.000374176,0.00045073,0.000388036,0.000444687,0.000561925,0.000354637,0.00031669,0.00042622,0.018560163,0.674210537,0.000464617,0.00171876,0.000436798,0.000341951,0.665478902,0.000431636,0.000437357,0.000530761,0.000499759,0.000752526,0.086078656,0.162985433,0.000457957,0.000373678,0.000398737,0.000420521,0.000654095,0.000505862,0.000324822,0.00047334,0.00056485,0.00034355,0.000380192,0.000630183,0.000645697,0.000446003,0.00053944,0.000592687,0.000486343,0.000649598,0.000563104,0.000396867,0.000577503,0.000451214,0.000551028,0.000595591,0.000660779,0.000692799,0.000456468,0.00055209,0.000508157,Cl.51,3338
