"SBS5" "SBS18" "SBS11" "SBS32" "SBS36" "N2"
"MD6812_Right_lobe_Cl.11" 0.0197800734003594 0.030911744897096 0.0502326950848082 0.109837663846642 0.0344748548975251 0.754762967873569
"MD6812_Right_lobe_Cl.12" 0.094389301829014 0.0144069092399681 0.026351218844538 0.107906261454411 0.0170781016600814 0.739868206971988
"MD6812_Right_lobe_Cl.13" 0.370785330931632 0.141138992537721 0.108300051412901 0.107245908985473 0.0801679933377734 0.192361722794499
"MD6812_Right_lobe_Cl.15" 0.128094312182722 0.0136898350568959 0.0360942839803946 0.252765673036278 0.0174605522059761 0.551895343537734
"MD6812_Right_lobe_Cl.18" 0.121917917023988 0.0259573881639542 0.023201524758391 0.0567980874840905 0.0225811200925588 0.749543962477018
"MD6812_Right_lobe_Cl.19" 0.178733165916707 0.00499673139991017 0.0759572628559541 0.191805484095856 0.0207186546803529 0.52778870105122
"MD6812_Right_lobe_Cl.2" 0.139431892716965 0.0452072545424851 0.0299451800370342 0.093172823937965 0.0261720029895816 0.666070845775969
"MD6812_Right_lobe_Cl.20" 0.218426370696877 0.223728797670007 0.0270553754022937 0.0450654099795248 0.137147657101973 0.348576389149325
"MD6812_Right_lobe_Cl.3" 0.17469914808541 0.0106496206674317 0.0558385840335874 0.273900770068943 0.0089647667161955 0.475947110428432
"MD6812_Right_lobe_Cl.4" 0.228581310997422 0.322160264243039 0.0242949066292502 0.0913450787418664 0.110629880598334 0.222988558790088
"MD6812_Right_lobe_Cl.71" 0.159903051733995 0.14887578708252 0.206305189710245 0.191757332153955 0.147313420904665 0.14584521841462
"MD7047_Left_lobe_Cl.1" 0.10014147526382 0.00419388028958772 0.0638030134838235 0.171958016535441 0.0197649005597825 0.640138713867545
"MD7047_Left_lobe_Cl.10" 0.327592025770506 0.140240545676509 0.165164753064083 0.149867439016515 0.0975967262927046 0.119538510179684
"MD7047_Left_lobe_Cl.11" 0.132607318546886 0.00439983297587709 0.0973555229192981 0.204967916887058 0.0264683353156247 0.534201073355256
"MD7047_Left_lobe_Cl.12" 0.117058439977514 0.00283909062393216 0.0945475941525293 0.209515681841232 0.00736519165654942 0.568674001748242
"MD7047_Left_lobe_Cl.13" 0.0933557418498558 0.00139168374660207 0.0324877427166532 0.106374397790681 0.0012942291142833 0.765096204781925
"MD7047_Left_lobe_Cl.14" 0.170809212067826 0.150128475694136 0.165941942298496 0.215853612367253 0.147199796945275 0.150066960627013
"MD7047_Left_lobe_Cl.15" 0.171543781450542 0.00590644228435086 0.064446839956907 0.236443735222458 0.0132414861333836 0.508417714952358
"MD7047_Left_lobe_Cl.16" 0.0933444377688727 0.0029241087804825 0.07629075540935 0.251361437835471 0.0306527691684205 0.545426491037403
"MD7047_Left_lobe_Cl.17" 0.119332476918253 0.00676369281939852 0.0622851295638393 0.206839354658185 0.00674742737131086 0.598031918669014
"MD7047_Left_lobe_Cl.18" 0.0989467957961235 0.00264685960046702 0.0614578403273559 0.170175707089602 0.0137671349419001 0.653005662244552
"MD7047_Left_lobe_Cl.19" 0.103570406021942 0.00154791716981561 0.0801983927031619 0.208764400692916 0.0214344344642109 0.584484448947953
"MD7047_Left_lobe_Cl.2" 0.18404165078903 0.143662701856047 0.142071351013862 0.187685436436555 0.133389681550078 0.209149178354428
"MD7047_Left_lobe_Cl.20" 0.155340049468546 0.150048204053679 0.143420780686914 0.187047529700278 0.146934449280247 0.217208986810337
"MD7047_Left_lobe_Cl.21" 0.341983268618455 0.114890121042015 0.1595270316909 0.125948532432091 0.094541261721647 0.163109784494892
"MD7047_Left_lobe_Cl.22" 0.0601897544969827 0.00387956500918637 0.0477736549016506 0.137320796627762 0.0138717564685139 0.736964472495905
"MD7047_Left_lobe_Cl.23" 0.0897362473974716 0.00197980454714616 0.0728589116755536 0.190533633551204 0.0206513635038699 0.624240039324755
"MD7047_Left_lobe_Cl.24" 0.113990456109965 0.00796138670391773 0.120684274240278 0.22034135161336 0.0216599976539853 0.515362533678494
"MD7047_Left_lobe_Cl.25" 0.242622845378651 0.148010560640744 0.131968771492984 0.1626485072255 0.141337489142512 0.173411826119609
"MD7047_Left_lobe_Cl.26" 0.151303081161276 0.00506566201808395 0.0983236057585203 0.250813692998635 0.0179420312179482 0.476551926845537
"MD7047_Left_lobe_Cl.27" 0.300676293226037 0.142360665078713 0.115533511849212 0.174308591511911 0.125095814189508 0.14202512414462
"MD7047_Left_lobe_Cl.28" 0.234665773530155 0.167987192571481 0.126552954976799 0.163136336801587 0.15171446021771 0.155943281902268
"MD7047_Left_lobe_Cl.29" 0.206661574922861 0.0430473196523787 0.108847551278668 0.192888223314074 0.0959490217792529 0.352606309052766
"MD7047_Left_lobe_Cl.3" 0.13110133168127 0.00651425529832391 0.087699203648841 0.213769073714972 0.0165520065232567 0.544364129133337
"MD7047_Left_lobe_Cl.32" 0.165857708330558 0.0605795432315502 0.104043762479145 0.162778225565638 0.0664144018228788 0.440326358570231
"MD7047_Left_lobe_Cl.33" 0.0882762437961344 0.00145828817683184 0.0882425538257878 0.211199301596874 0.0321055348607056 0.578718077743667
"MD7047_Left_lobe_Cl.34" 0.206424997573298 0.17497025186512 0.156708202301233 0.16062288921281 0.142665541115402 0.158608117932138
"MD7047_Left_lobe_Cl.35" 0.132530588108259 0.164153338589559 0.157234656429308 0.190160258226168 0.175937475361206 0.1799836832855
"MD7047_Left_lobe_Cl.37" 0.117365230866575 0.00473113343698679 0.0884729307609938 0.255668235700823 0.00405627425761413 0.529706194977007
"MD7047_Left_lobe_Cl.39" 0.161518917329944 0.147401228694997 0.144069855520514 0.144696870854259 0.148717369798603 0.253595757801683
"MD7047_Left_lobe_Cl.4" 0.148645872113521 0.130896151583799 0.112072839784427 0.116548593231395 0.122221724209598 0.36961481907726
"MD7047_Left_lobe_Cl.40" 0.138894472331456 0.00845650502750734 0.0907402068871039 0.214583186190339 0.0349783966210147 0.512347232942578
"MD7047_Left_lobe_Cl.41" 0.196406560688381 0.0348481882714845 0.0935811196748741 0.253582599175619 0.0353911449350315 0.38619038725461
"MD7047_Left_lobe_Cl.42" 0.233775903463088 0.168157408246683 0.131300711804921 0.139772276879722 0.119087466254981 0.207906233350606
"MD7047_Left_lobe_Cl.43" 0.114338951054065 0.00155848831736933 0.0386936681880689 0.109425032574272 0.0025178428271715 0.733466017039053
"MD7047_Left_lobe_Cl.45" 0.204136671076181 0.166755666532273 0.146041849521992 0.154292526082585 0.154991239594116 0.173782047192853
"MD7047_Left_lobe_Cl.46" 0.079738993383564 0.00592579054631791 0.0504111863946428 0.162923994351062 0.00999081606554287 0.69100921925887
"MD7047_Left_lobe_Cl.5" 0.0965673211776264 0.00208348126615613 0.0637841041543837 0.149845971371536 0.017840166580588 0.669878955449709
"MD7047_Left_lobe_Cl.50" 0.0926003782738433 0.00632318315153993 0.0853997329172292 0.166091578425699 0.00881933984113341 0.640765787390555
