MD7047d_lo0003,_lo0004,_lo0015,_lo0016,_lo0033,_lo0034,_lo0065,_lo0066,_lo0070,_lo0071,_lo0074,_lo0078,_lo0079,_lo0080,_lo0087,_lo0088,_lo0089,_lo0091,_lo0093,_lo0095,_lo0096,_lo0101,_lo0102,_lo0105,_lo0106,_lo0109,_lo0110,_lo0112,_lo0113,_lo0114,_lo0123,_lo0124,_lo0125,_lo0126,_lo0127,_lo0128,_lo0129,_lo0130,_lo0131,_lo0132,_lo0133,_lo0137,_lo0138,_lo0139,_lo0140,_lo0141,_lo0142,_lo0143,_lo0144,_lo0145,_lo0149,_lo0150,_lo0151,_lo0152,_lo0153,_lo0156,_lo0157,_lo0158,_lo0159,_lo0160,_lo0161,cluster_id,no.of.mutations.assigned
0.000276995,0.000432827,0.000407693,0.000429093,0.000335493,0.000406798,0.72270253,0.453438313,0.706577865,0.818728354,0.000316611,0.000357161,0.000365456,0.000429044,0.000279032,0.000320443,0.000315841,0.000253565,0.151585886,0.000307483,0.000380742,0.000387834,0.000332633,0.00018273,0.000311983,0.000405498,0.000290358,0.220683005,0.000267596,0.000311088,0.000260286,0.000208381,0.000416861,0.000272388,0.000239901,0.000377933,0.00040406,0.000455289,0.000345674,0.000447729,0.000323914,0.000402895,0.000469631,0.000342373,0.000327196,0.00047104,0.000397193,0.000369001,0.000532147,0.000262371,0.000404167,0.000517414,0.000397095,0.000366072,0.000250762,0.000179998,0.000430295,0.000437807,0.000281216,0.000228365,0.000355753,Cl.40,6643
0.004687239,0.005421683,0.018980743,0.004470924,0.005538449,0.004533236,0.005125417,0.016955838,0.004640143,0.00563966,0.005125006,0.005074738,0.004272846,0.004824266,0.213850421,0.022572158,0.031546606,0.033149662,0.021977989,0.006000182,0.00632904,0.026098709,0.507775123,0.005334234,0.006489155,0.004491204,0.005254262,0.004660148,0.0054104,0.00450759,0.005414596,0.005450164,0.005003842,0.004586066,0.007351104,0.425794761,0.004165226,0.005099671,0.007598553,0.004454777,0.004921549,0.005476515,0.005321728,0.005555936,0.005266221,0.005376273,0.004356204,0.003814448,0.004693255,0.004126188,0.004487874,0.006426838,0.004750062,0.0052174,0.005659948,0.005217945,0.006643664,0.004759316,0.004780463,0.004121877,0.005164536,Cl.41,91
0.000262893,0.000291579,0.000402761,0.000332123,0.000315277,0.000308125,0.000219523,0.000271039,0.000270057,0.000292233,0.000252373,0.000218383,0.000257912,0.000260814,0.000215634,0.00027616,0.00024835,0.000219485,0.00022945,0.000314596,0.00030428,0.000271722,0.000277677,0.788030712,0.374323158,0.002906753,0.000265674,0.000270493,0.000254971,0.00028528,0.75424386,0.505014579,0.000307336,0.16462669,0.083481715,0.000372356,0.000301798,0.00039763,0.000368597,0.000323342,0.000320562,0.000282005,0.000338718,0.000312154,0.00035862,0.000501905,0.000297311,0.000379745,0.000314309,0.000316842,0.000480648,0.000351246,0.000345508,0.000229725,0.000477692,0.000267126,0.000299223,0.000339716,0.000278822,0.00022409,0.000300665,Cl.42,14330
0.238954108,0.270324829,0.002950602,0.103962822,0.001125778,0.000816438,0.000663162,0.001439042,0.000704574,0.000910763,0.001237251,0.001353433,0.001009478,0.001593653,0.002402257,0.016515321,0.001040018,0.003100829,0.002123129,0.001102534,0.001099199,0.009934452,0.001890262,0.000873316,0.001005427,0.000651815,0.001080808,0.000641246,0.000770326,0.001237648,0.000914731,0.000969358,0.001087917,0.000974384,0.0011679,0.003357293,0.000836602,0.00148369,0.001712041,0.001292824,0.000924872,0.000935491,0.000929624,0.00136468,0.000894051,0.000929749,0.001123155,0.000741662,0.00127604,0.000995642,0.001113201,0.001734629,0.001390794,0.000950555,0.000718961,0.000705815,0.00121753,0.000962866,0.001512931,0.00089388,0.001160811,Cl.56,670
0.152819111,0.201475839,0.247690823,0.227329651,0.007094031,0.005756972,0.006315507,0.121991833,0.006473503,0.006007355,0.139172066,0.071652929,0.103766802,0.110522764,0.09931984,0.267544553,0.018598801,0.223725636,0.147523837,0.184942654,0.161908384,0.24150486,0.155901946,0.008882727,0.008423335,0.117093808,0.007111147,0.008852809,0.169155977,0.178353688,0.0072253,0.006590313,0.006580091,0.006919545,0.111402671,0.160918291,0.006007174,0.006632051,0.01138892,0.00770623,0.007202007,0.006261966,0.008207998,0.006492675,0.007705756,0.006599987,0.007396293,0.00545941,0.007105696,0.006090023,0.00653776,0.006884912,0.008843881,0.005415085,0.00681823,0.009715081,0.010861231,0.006217137,0.009539557,0.008679783,0.007139835,Cl.62,40
0.00169498,0.002421298,0.002139112,0.001853274,0.001351375,0.00156557,0.001933905,0.001826598,0.001335525,0.001547979,0.002955073,0.002107715,0.001431074,0.001647743,0.001818118,0.002213254,0.001689008,0.002331664,0.0023232,0.207568187,0.201206566,0.002347284,0.001587683,0.001342434,0.001583346,0.002228586,0.002054777,0.001583306,0.14545346,0.188493193,0.001879518,0.0019617,0.001429903,0.001378002,0.002678475,0.001793971,0.001710526,0.001659993,0.002273111,0.001575567,0.001912468,0.001711255,0.001344673,0.001563675,0.001522611,0.001436386,0.001518926,0.001865139,0.001960416,0.001805547,0.001254083,0.00182422,0.00220332,0.00213541,0.001564451,0.00148808,0.003837906,0.00143328,0.002631451,0.001913539,0.001430465,Cl.76,348
0.002078755,0.001678222,0.003854787,0.001639911,0.00194019,0.001346422,0.001801068,0.006786771,0.001431722,0.001471108,0.002160941,0.001428353,0.001365513,0.001535387,0.019131608,0.515149046,0.004382645,0.055735255,0.012399959,0.001403346,0.002098289,0.381405581,0.015083586,0.001274945,0.001596251,0.001288541,0.002049455,0.001211921,0.001415005,0.001446245,0.00178321,0.001979259,0.001325539,0.001846313,0.001900051,0.037427129,0.001600523,0.00225485,0.001690133,0.00163444,0.001189546,0.001276903,0.001777336,0.001639507,0.001735769,0.001308699,0.001426776,0.001682043,0.002137348,0.001339625,0.002452656,0.001501863,0.00200602,0.001197761,0.001754328,0.00306939,0.001702015,0.001560848,0.002221921,0.001160938,0.00251834,Cl.84,392
0.049199993,0.049265431,0.050540972,0.050677265,0.053943374,0.059092184,0.050989997,0.055189723,0.056009031,0.054390471,0.050602444,0.053255903,0.055126393,0.056109689,0.052067614,0.058434126,0.055874159,0.057849516,0.056556797,0.056811365,0.053614796,0.058064186,0.051335508,0.054231453,0.053763672,0.054734658,0.056577064,0.055321804,0.052187554,0.053693718,0.054699761,0.051923222,0.051196587,0.056205202,0.054591176,0.053894995,0.050951094,0.051676704,0.051706055,0.051474076,0.05251819,0.049122914,0.049105091,0.05140562,0.051603535,0.051542357,0.050518678,0.051032419,0.047216184,0.0512015,0.051603332,0.048726196,0.05238419,0.047582671,0.048618575,0.05153363,0.05185049,0.049770518,0.050820786,0.046032978,0.048351373,Cl.90,6161
0.305393045,0.399595028,0.393803424,0.423009588,0.004758543,0.004537943,0.004675952,0.210637567,0.004501184,0.005275254,0.323570145,0.150250753,0.27070884,0.283874774,0.182818724,0.461780376,0.033915521,0.364505155,0.213672565,0.431305978,0.410623926,0.44792307,0.291741461,0.00517255,0.005874828,0.28773501,0.005661922,0.005603271,0.41721971,0.422088193,0.005703747,0.006313472,0.005558981,0.004723492,0.312615979,0.294146097,0.005719544,0.00535949,0.00646777,0.006578398,0.004439324,0.005304711,0.006221761,0.005253903,0.005248559,0.005182972,0.005748017,0.004149703,0.008601061,0.005268305,0.004632872,0.004812737,0.005726293,0.004128251,0.005125365,0.007691088,0.010501732,0.004522173,0.008582226,0.005561551,0.006282724,Cl.99,65
0.001089901,0.001250583,0.514491885,0.001041388,0.000987036,0.001060098,0.000904617,0.001204081,0.001462195,0.001120773,0.001045319,0.001008929,0.000978312,0.000838428,0.000958866,0.000897823,0.001104209,0.00119055,0.001160716,0.001005652,0.00095573,0.001181709,0.001203322,0.000838103,0.000958785,0.001174352,0.001890087,0.000931877,0.001313598,0.00113112,0.000984377,0.001063309,0.000956016,0.001048196,0.001467748,0.001274855,0.00093405,0.001215797,0.001193912,0.00144829,0.000936492,0.001065552,0.000748746,0.001157004,0.001184816,0.000897372,0.001023803,0.00084324,0.001091139,0.000839552,0.001174904,0.001080792,0.000937606,0.001136743,0.001628538,0.000907383,0.00111046,0.001297849,0.001361607,0.000999441,0.000836828,Cl.100,521
